id,name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
1447,Reggaeton Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,https://p.scdn.co/mp3-preview/8bc3526c08a09338a4d70433c5795a6c90f5dd78?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2737db0f7ac4c612cce26ccacf9,0.761,0.838,-3.073,0.0502,0.4,0,0.176,0.71,0.246175,0.78075,0.78175,4.40E-07,0.1765,0.100325,0.68675
1448,Sharp Dressed Man - 2008 Remaster,ZZ Top,1UBQ5GK8JaQjm5VbkBZY66,https://p.scdn.co/mp3-preview/5be9776759c263721e1f75d03a12cc033a15fd99?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27328a00032ff3b86af3d7e0e54,0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,0.15148215,0.566728972,0.699850467,0.100722457,0.220536449,0.055166355,0.675056075
1449,Dark Necessities,Red Hot Chili Peppers,2oaK4JLVnmRGIO9ytBE1bt,https://p.scdn.co/mp3-preview/603321bf69cb0fd27c44ae875ff73c6dfc856311?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27358406b3f1ac3ceaff7a64fef,0.7,0.742,-6.777,0.0716,0.0722,0.0199,0.11,0.197,0.056689477,0.547803653,0.82326484,0.075691456,0.181637443,0.077571689,0.509851142
1450,Better Off (Dying),Lil Peep,1tlrTC3x7viJ1U30oOFGdF,https://p.scdn.co/mp3-preview/fb9a2b1f5bb0e2d4fc8930b8a6f7197f9b588b76?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2734958dc3c8e7aa7db22f55af3,0.521,0.766,-4.693,0.0409,0.00835,0,0.155,0.196,0.119916155,0.569647059,0.610482353,0.026742352,0.186977647,0.065087059,0.272832941
1451,Boys Like You - Acoustic,Anna Clendening,51xRMJFRBrW9C1RI1qW4S0,https://p.scdn.co/mp3-preview/75e58a824cdd8cb48fa2f8c0b52428e8f4438f6f?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2734668bf5b0aedd4e72daed553,0.477,0.128,-14.567,0.0707,0.928,0,0.0875,0.38,0.466178333,0.616833333,0.536833333,0.014705385,0.126933333,0.112583333,0.34275
1452,Despacito - Remix,Luis Fonsi,6rPO02ozF3bM7NnOV4h6s2,,https://i.scdn.co/image/ab67616d0000b273a6a335d613d151c626895a83,0.653,0.816,-4.353,0.167,0.228,0,0.0967,0.816,0.352845161,0.519193548,0.638322581,0,0.189370968,0.063696774,0.535354839
1453,Depression & Obsession,XXXTENTACION,2H3wWrnO758y0fPH7Ilerg,https://p.scdn.co/mp3-preview/65c8042ceaad9eb8428a459bf8d05275593c9ded?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,0.769,0.156,-10.7,0.035,0.585,0.015,0.102,0.527,0.39909875,0.69875,0.471470313,0.030968247,0.157910938,0.167740625,0.422034375
1454,Feel This Moment (feat. Christina Aguilera),Pitbull,0Hf4aIJpsN4Os2f0y0VqWl,https://p.scdn.co/mp3-preview/68f4c7804fff74deba04b861d13d2743101233d5?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,0.673,0.758,-3.632,0.158,0.039,0,0.341,0.542,0.072397273,0.754535354,0.797949495,0.000623609,0.233032323,0.152561616,0.709020202
1455,Iris,The Goo Goo Dolls,6vrUTGn5p8IrfTZ0J6sIVM,https://p.scdn.co/mp3-preview/956923574bf91206435e9774d13f6dd775a49cab?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d54c4b12c9242bda37f4bb25,0.291,0.79,-5.683,0.0363,0.00133,5.61E-06,0.0811,0.513,0.038797739,0.436419355,0.758580645,0.000662444,0.147496774,0.041974194,0.417032258
1456,Nevada,Vicetone,02shCNmb6IvgB5jLqKjtkK,https://p.scdn.co/mp3-preview/3fdbd9870e39d5da03933f7e084aca251a8bcbbb?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273f48a2a4e66094853072c3b79,0.605,0.783,-4.271,0.0324,0.299,0.000175,0.133,0.105,0.096544,0.6078,0.8638,0.3660604,0.2516,0.07854,0.3376
1457,Escapate Conmigo (feat. Ozuna),Wisin,1KSqYYJFyfTecXFk9M0prc,https://p.scdn.co/mp3-preview/68cd7f2118c3cfe1a4f6b9f00468753bb83b3301?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273c7524a697e709517b50681b2,0.744,0.859,-3.166,0.0795,0.0256,6.27E-05,0.0881,0.787,0.15995,0.760409091,0.816454545,4.84E-06,0.222845455,0.124340909,0.711454545
1458,California Gurls,Katy Perry,6tS3XVuOyu10897O3ae7bi,,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,0.791,0.754,-3.729,0.0569,0.00446,0,0.163,0.425,0.094791117,0.660198198,0.745810811,3.34E-05,0.201233333,0.053163063,0.621234234
